timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1732927320410,38,REST,200,OK,JMeter Load Testing 1-1,text,true,,471,132809,1,1,http://149.165.174.52:8080/predict,,38,UTF-8,1,0,ckn-instance-2,0,1
1732927320448,28,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132849,1,1,http://149.165.174.52:8080/predict,,28,UTF-8,1,0,ckn-instance-2,0,1
1732927320476,25,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132819,1,1,http://149.165.174.52:8080/predict,,25,UTF-8,1,0,ckn-instance-2,0,1
1732927320501,25,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132849,1,1,http://149.165.174.52:8080/predict,,25,UTF-8,1,0,ckn-instance-2,0,1
1732927320526,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132799,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927320552,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132839,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927320579,25,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132849,1,1,http://149.165.174.52:8080/predict,,25,UTF-8,1,0,ckn-instance-2,0,1
1732927320605,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132889,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927320631,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132899,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,2
1732927320658,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132819,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,2
1732927320685,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,471,132859,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927320711,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132839,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927320737,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,471,132849,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,2
1732927320764,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132799,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927320792,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,471,132849,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927320819,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,469,132819,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927320846,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132869,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927320873,29,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132829,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,1
